,Organisation_fame_search,Company.name
1213,My Tribe Homes Ltd,MY TRIBE HOMES LTD
1214,Caring Feathers Ltd,CARING FEATHERS LTD
1215,New Roots childrens Services Limited,NEW ROOTS CHILDREN'S SERVICES LIMITED
1216,SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION,SOUTHEND-ON-SEA YOUNG MEN'S CHRISTIAN ASSOCIATION
1217,Sunrise Hill Care Ltd,SUNRISE HILL CARE LTD
1218,SMOOTH STONE CARE AND EDUCATION LIMITED,SMOOTH STONE CARE AND EDUCATION LIMITED
1219,Sportfit Support Services Ltd,SPORTFIT SUPPORT SERVICES LIMITED
1220,Green Harvest Capital Consulting Ltd,GREEN HARVEST CAPITAL CONSULTING LTD
1221,Care Today (childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD
1222,Sunbridge Childcare Ltd,SUNBRIDGE CHILDCARE LTD
1223,Tutelage Care Hatley Ltd,TUTELAGE CARE HATLEY LTD
1224,Sure Steps Support Services Ltd,SURE STEPS SUPPORT SERVICES LTD
1225,Trinity Care and Education Services Ltd,PROSPERITY CHILDRENS SERVICES LIMITED
1226,HEADSTART RESIDENTIAL CARE LTD,HEADSTART RESIDENTIAL CARE LTD
1227,Invested Childcare LTD,INVESTED CHILDCARE LTD
1228,Ivie Lodge Limited,IVIE LODGE LIMITED
1229,Step Up Children and Family Services Ltd,STEP UP CHILDREN AND FAMILY SERVICES LIMITED
1230,Cedarways Residential Child Care Larkhill House Limited,CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED
1231,Harmony Childcare Residential Homes Limited,HARMONY CHILDCARE RESIDENTIAL HOMES LTD
1232,Jasper Education and Support Services Limited,JASPER EDUCATION AND SUPPORT SERVICES LIMITED
1233,Belmont Residential Care Ltd,BELMONT RESIDENTIAL CARE LTD
1234,Birchwood Independence Ltd,BIRCHWOOD INDEPENDENCE LTD
1235,Roxwell Care Ilford Limited,ROXWELL CARE ILFORD LIMITED
1236,EJ Childcare Services LTD,EJ CHILDCARE SERVICES LTD
1237,Cherry Care childrens Home LTD,CHERRY CARE CHILDREN'S HOME LTD
1238,TRESSELL Homes ltd,TRESSELL HOMES LTD
1239,Chillington Close Limited,CHILLINGTON CLOSE LTD
1240,XYP Childcare Ltd,XYP CHILDCARE LIMITED
1241,SW Education & Care Ltd,SW EDUCATION & CARE LTD
1242,Watermead Care Limited,WATERMEAD CARE LTD
1243,Choices Home for Children,CHOICES HOME FOR CHILDREN LIMITED
1244,Residential Child care Community (Town Hall) LTD,RESIDENTIAL CHILD CARE COMMUNITY (TOWN HALL) LIMITED
1245,Formations Care Services Ltd,FORMATIONS CARE SERVICES LTD
1246,Hestia Homes For Children Limited,HESTIA HOMES FOR CHILDREN LIMITED
1247,Virtue Therapeutic Care and Education (East Sussex) Limited,VIRTUE THERAPEUTIC CARE & EDUCATION (EAST SUSSEX) LIMITED
1248,The Amicus Community (Arundel) Ltd,THE AMICUS COMMUNITY ARUNDEL LIMITED
1249,JMR Healthcare Ltd,JMR HEALTHCARE LTD
1250,Holistic Care Service Nationwide Limited,HOLISTIC CARE SERVICE NATIONWIDE LIMITED
1251,Barnardos Services Limited,BARNARDO SERVICES LIMITED
1252,Stepping Stones Care Limited,STEPPING STONES CARE LIMITED
1253,Thrive Childcare Services Limited,THRIVE CHILDCARE SERVICES LTD
1254,Bay Tree House Higham Ltd,BAY TREE HOUSE (HIGHAM) LTD
1255,Embrace Care Ltd,EMBRACE CARE LTD
1256,PARKER SC LTD,PARKER SC LTD
1257,Willow Tree childrens Services Ltd,WILLOW TREE CHILDREN'S SERVICES LTD
1258,Jurita Limited,JURITA LIMITED
1259,3S Adolescent Care Limited,3S ADOLESCENT CARE LIMITED
1260,Regional Therapeutic Homes Ltd,REGIONAL THERAPEUTIC HOMES LTD
1261,Bear Care Services Limited,BEAR CARE SERVICES LIMITED
1262,AEGIS 24/7 LTD,AEGIS 24/7 LTD
1263,Safety and Focused Care Ltd,SAFETY & FOCUSED CARE LTD
1264,Talbot House childrens Charity Limited,TALBOT HOUSE CHILDREN'S CHARITY LIMITED
1265,Jaynes Homes Limited,JAYNE HOMES LIMITED
1266,Strive and succeed Ltd,STRIVE AND SUCCEED LTD
1267,Fresh Start Care Group Ltd,FRESH START CARE GROUP LTD
1268,C & C Unique Care Solution Ltd,C & C UNIQUE CARE SOLUTIONS LTD
1269,Libre Living Ltd,LIBRE LIVING LIMITED
1270,Emerge Care And Therapeutic Solutions Limited,EMERGE CARE AND THERAPEUTIC SOLUTIONS LIMITED
1271,SV Care Services Ltd,SV CARE SERVICES LIMITED
