"","Organisation","Organisation_fame_search","Company.name"
"847","Above and Beyond Residential Care ltd","Above and Beyond Residential Care ltd","ABOVE AND BEYOND RESIDENTIAL CARE LTD"
"848","Bttlr Limited","Bttlr Limited","BTTLR LIMITED"
"849","Guidance Care Limited","Guidance Care Limited","GUIDANCE CARE LIMITED"
"850","Windows For Children Ltd","Windows For Children Ltd","WINDOWS FOR CHILDREN LIMITED"
"851","Smartcare Services","Smartcare Services","SMARTCARE SERVICES LIMITED"
"852","Hand In Hand Childcare","Hand In Hand Childcare","HAND IN HAND CHILDCARE LLP"
"853","Keys Child Care Ltd","Keys Child Care Ltd","KEYS CHILD CARE LIMITED"
"854","Heartwood RSC Ltd","Heartwood RSC Ltd","HEARTWOOD RSC LTD"
"855","Paramount Children Care Ltd","Paramount Children Care Ltd","PARAMOUNT CHILDREN CARE LTD"
"856","Anchor Care and Education Limited","Anchor Care and Education Limited","ANCHOR CARE AND EDUCATION LTD"
"857","The Hesley Group Limited","The Hesley Group Limited","THE HESLEY GROUP LIMITED"
"858","Northern Community Pathways Children's Residential Services Limited","Northern Community Pathways childrens Residential Services Limited","NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD"
"859","Achieving For Children Community Interest Company","Achieving For Children Community Interest Company","ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY"
"860","Sozo Care Homes Limited","Sozo Care Homes Limited","SOZO CARE HOMES LIMITED"
"861","Aspire 2 Be Ltd","Aspire 2 Be Ltd","ASPIRE 2 BE LTD"
"862","Midas Manors Ltd","Midas Manors Ltd","MIDAS MANORS LTD"
"863","Assure Care Homes Ltd","Assure Care Homes Ltd","ASSURE CARE HOMES LTD"
"864","Compass Children's Homes Kent Limited","Compass childrens Homes Kent Limited","COMPASS CHILDREN'S HOMES KENT LIMITED"
"865","Gracebridge Care Limited","Gracebridge Care Limited","GRACEBRIDGE CARE LIMITED"
"866","Fonjock's Social Work Practice","Fonjocks Social Work Practice","FONJOCK'S SOCIAL WORK PRACTICE LIMITED"
"867","Country Care Childrens Homes Ltd","Country Care Childrens Homes Ltd","COUNTRY CARE CHILDRENS HOMES LTD"
"868","Bfg Together Limited","Bfg Together Limited","BFG TOGETHER LTD"
"869","Mutual Care Ltd","Mutual Care Ltd","MUTUAL CARE LIMITED"
"870","Changing Lives Care Group Ltd","Changing Lives Care Group Ltd","CHANGING LIVES CARE GROUP LTD"
"871","Solace for Children Ltd","Solace for Children Ltd","SOLACE FOR CHILDREN LIMITED"
"872","Care Today (Childrens Services) Ltd","Care Today (Childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD"
"873","R G CARE LTD","R G CARE LTD","R G CARE LTD."
"874","HUNTERCOMBE YOUNG PEOPLE LTD","HUNTERCOMBE YOUNG PEOPLE LTD","ACTIVE YOUNG PEOPLE LIMITED"
"875","Consistent Quality Support Ltd","Consistent Quality Support Ltd","CONSISTENT QUALITY SUPPORT LTD"
"876","A & S Children's Services LTD","A & S childrens Services LTD","A & S CHILDRENS SERVICES LTD"
"877","Blossom Children's Homes Limited","Blossom childrens Homes Limited","BLOSSOM CHILDREN'S HOMES LIMITED"
"878","GAC FAMILY SERVICES LIMITED","GAC FAMILY SERVICES LIMITED","GAC FAMILY SERVICES LIMITED"
"879","North West Youth Services Limited","Northwest Youth Services Limited","NORTHWEST YOUTH SERVICES LTD"
"880","Highlands (Fareham) Limited","Highlands (Fareham) Limited","HIGHLANDS (FAREHAM) LIMITED"
"881","Indigo Children's Care Homes Ltd","Indigo childrens Care Homes Ltd","INDIGO CHILDRENS CARE HOMES LTD"
"882","Connect Care Solutions Limited","Connect Care Solutions Limited","CONNECT CARE SOLUTIONS LIMITED"
"883","Paramount Children's Services Ltd","Paramount childrens Services Ltd","PARAMOUNT CHILDREN'S SERVICES LTD"
"884","Solace Care Redbridge Ltd","Solace Care Redbridge Ltd","SOLACE CARE REDBRIDGE LTD"
"885","Rainbows Corner Ltd","Rainbows Corner Ltd","RAINBOW CORNER LIMITED"
"886","Onextra Care Ltd","Onextra Care Ltd","ONEXTRA CARE LTD"
"887","PCF Residential Childcare Ltd","PCF Residential Childcare Ltd","PCF RESIDENTIAL CHILDCARE LTD"
"888","Pathways Residential Child Care Limited","Pathways Residential Child Care Limited","PATHWAYS RESIDENTIAL CHILD CARE LIMITED"
"889","Hmo Ne Ltd","Hmo Ne Ltd","HMO NE LTD"
"890","Empower Support Services Limited","Empower Support Services Limited","EMPOWER FAMILY SUPPORT SERVICES LTD"
"891","Horizon Transitional Care Limited","Horizon Transitional Care Limited","HORIZON TRANSITIONAL CARE LTD"
"892","Kelwel Care Limited","Kelwel Care Limited","KELWEL CARE LIMITED"
"893","Champion Children (NW London) Limited","Champion Children (NW London) Limited","CHAMPION CHILDREN (NW LONDON) LIMITED"
"894","Barnardo Services Limited","Barnardo Services Limited","BARNARDO SERVICES LIMITED"
"895","Nisa Care Home Limited","Nisa Care Home Limited","NISA CARE HOME LIMITED"
"896","4 Pure Heart Limited","4PureHeart Limited","4PUREHEART LIMITED"
"897","Casaegis Ltd","Casaegis Ltd","CASAEGIS LIMITED"
"898","Juventas Services Limited","Juventas Services Limited","JUVENTAS SERVICES LIMITED"
"899","Wynford House Ltd","Wynford House Ltd","WYNFORD HOUSE LTD"
"900","Pilgrim Extra Care Ltd","Pilgrim Extra Care Ltd","PILGRIMAGE SHORT STAY RECOVERY UNITS LTD"
"901","Lavender Grove Cares Limited","Lavender Grove Cares Limited","LAVENDER GROVE CARES LTD."
"902","Capital Childrens Care Ltd","Capital Childrens Care Ltd","CAPITAL CHILDREN'S CARE LTD"
"903","CF Support Services Limited","CF Support Services Limited","CF SUPPORT SERVICES LIMITED"
"904","J&r Care Limited","J&r Care Limited","J & R CARE LIMITED"
"905","Safe Haven Adolescent Care Group Ltd","Safe Haven Adolescent Care Group Ltd","SAFE HAVEN ADOLESCENT CARE GROUP LIMITED"
"906","Clervaux Garden School","Clervaux Garden School","CLERVAUX GARDEN SCHOOL"
"907","Senad Limited","Senad Limited","SENAD LIMITED"
"908","TJY Care Ltd","TJY Care Ltd","TJY CARE LTD"
"909","Coastal Quality Care Ltd","Coastal Quality Care Ltd","COASTAL QUALITY CARE LTD"
"910","Alexanders House Ltd","Alexanders House Ltd","ALEXANDERS HOUSE LTD."
"911","Unique Care Group Limited","Unique Care Group Limited","UNIQUE CARE GROUP LTD"
"912","G&S Caring for Children and Young People Ltd","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD"
"913","T. How Homely Limited","T. How Homely Limited","T. HOW HOMELY LIMITED"
"914","Chillington Close","Chillington Close","CHILLINGTON CLOSE LTD"
"915","Rite Directions Ltd","Rite Directions Ltd","RITE DIRECTIONS LTD"
"916","Evoke Care Ltd","Evoke Care Ltd","EVOKE CARE GROUP LIMITED"
"917","Child First Residential LTD","Child First Residential LTD","CHILD FIRST RESIDENTIAL LTD"
"918","Raise House Limited","Raise House Limited","RAISE HOUSE LIMITED"
"919","The Open Care Group Limited","The Open Care Group Limited","THE OPEN CARE GROUP LIMITED"
"920","Overley Hall Limited","Overley Hall Limited","OVERLEY HALL LIMITED"
"921","iMapcentre Ltd","iMap centre Ltd","IMAP CENTRE LIMITED"
"922","Willows21 Limited","Willows 21 Limited","WILLOWS 21 LTD"
"923","Castle Care Homes Ltd","Castle Care Homes Ltd","CASTLE CARE HOMES LTD"
"924","Madiba Limited","Madiba Limited","MADIBA LIMITED"
"925","247Bluebell Care LTD","247 Bluebell Care LTD","247 BLUEBELL CARE LIMITED"
"926","VITA NOVA NE LTD","VITA NOVA NE LTD","VITA NOVA NE LTD"
"927","One Step Care Limited","One Step Care Limited","ONE STEP CARE LIMITED"
"928","Woodford Children's Services Ltd","Woodford childrens Services Ltd","WOODFORD CHILDREN'S SERVICES LIMITED"
"929","Hazelmont Social Care Limited","Hazelmont Social Care Limited","HAZELMONT SOCIAL CARE LIMITED"
"930","Pbs Care Homes Ltd","Pbs Care Homes Ltd","PBS CARE HOMES LTD"
"931","Almond Care Children's Services Limited","Almond Care childrens Services Limited","ALMOND CARE CHILDRENS SERVICES LIMITED"
"932","Future 19 Social Care Limited","Future 19 Social Care Limited","FUTURE 19 SOCIAL CARE LIMITED"
"933","Seva Childcare Ltd","Seva Childcare Ltd","SEVA CHILDCARE LTD"
"934","New Beginnings Young Peoples Care And Support Services Ltd","New Beginnings Young Peoples Care And Support Services Ltd","NEW BEGINNINGS YOUNG PEOPLE'S CARE AND SUPPORT SERVICES LTD"
"935","D & J Care Services-Residential Ltd","D & J Care Services-Residential Ltd","D&J CARE SERVICES-RESIDENTIAL LTD"
"936","Eventus Achieves Limited","Eventus Achieves Limited","EVENTUS ACHIEVES LIMITED"
"937","Dorset Emergency Placement Services Ltd.","Dorset Emergency Placement Services Ltd.","DORSET EMERGENCY PLACEMENT SERVICES LTD."
"938","Kennedy And Elliott Partnership Llp","Kennedy And Elliott Partnership Llp","KENNEDY AND ELLIOTT PARTNERSHIP LLP"
"939","Stepping Stones Care Ltd","Stepping Stones Care Ltd","STEPPING STONES CARE LIMITED"
"940","Innovate Therapeutic Care Limited","Innovate Therapeutic Care Limited","INNOVATE THERAPEUTIC CARE LIMITED"
"941","Invigor Adolescent Care Limited","Invigor Adolescent Care Limited","INVIGOR ADOLESCENT CARE LIMITED"
"942","Cascade (banks House) Limited","Cascade (banks House) Limited","CASCADE (BANKS HOUSE) LIMITED"
"943","Hazelmont Care Ltd","Hazelmont Care Ltd","HAZELMONT CARE LIMITED"
"944","Allinonecare Limited","Allinonecare Limited","ALLINONECARE LTD"
"945","James Kids Home Ltd","James Kids Home Ltd","JAMES KIDS HOME LTD"
"946","Care 4 Children Residential Services Limited","Care 4 Children Residential Services Limited","YOUR CHAPTER LIMITED"
"947","Witherslack Group","Witherslack Group","WITHERSLACK GROUP LIMITED"
"948","Aspris Children's Services Limited","Aspris childrens Services Limited","ASPRIS CHILDREN'S SERVICES LIMITED"
"949","YMCA ROBIN HOOD GROUP","YMCA ROBIN HOOD GROUP","YMCA ROBIN HOOD GROUP"
"950","TLC Youth Care Ltd","TLC Youth Care Ltd","TLC YOUTH CARE LIMITED"
"951","Slough Children First Limited","Slough Children First Limited","SLOUGH CHILDREN FIRST LIMITED"
"952","Acorn Homes (UK) Ltd","Acorn Homes (UK) Ltd","ACORN HOMES (U.K.) LIMITED"
"953","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED"
"954","Compass Childrens Homes Limited","Compass Childrens Homes Limited","COMPASS CHILDREN'S HOMES LIMITED"
"955","Thornleigh Camphill Communities Limited","Thornleigh Camphill Communities Limited","THORNLEIGH CAMPHILL COMMUNITIES LIMITED"
"956","Cambian Autism Services Ltd","Cambian Autism Services Ltd","CAMBIAN AUTISM SERVICES LIMITED"
"957","Exceptional Care Limited","Exceptional Care Limited","EXCEPTIONAL CARE LIMITED"
"958","Solent Childcare LTD","solent Child care LTD","SOLENT CHILD CARE LIMITED"
"959","Phoenix Care & Education Ltd","Phoenix Care & Education Ltd","PHOENIX CARE & EDUCATION LTD"
"960","Kites Children Services Limited","Kites Children Services Limited","KITES CHILDRENS SERVICES LIMITED"
"961","Beacon Childcare Ltd","Beacon Childcare Ltd","BEACON CHILDCARE LTD"
"962","Cove Care Residential Limited","Cove Care Residential Limited","COVE CARE RESIDENTIAL LIMITED"
"963","Artemis Support Limited","Artemis Support Limited","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED"
"964","New Horizons nw ltd","New Horizons nw ltd","NEW HORIZONS (NW) LTD"
"965","Calcot Services for Children Limited","Calcot Services for Children Limited","CALCOT SERVICES FOR CHILDREN LIMITED"
"966","Benjamin UK Ltd","Benjamin UK Ltd","BENJAMIN UK LTD"
"967","Aspire Care and Education Services Ltd","Aspire Care and Education Services Ltd","ASPIRE CARE AND EDUCATION SERVICES LIMITED"
"968","ROC Northwest Limited ","ROC Northwest Limited","ROC NORTHWEST LIMITED"
"969","Beaufort Care Group Limited","Beaufort Care Group Limited","BEAUFORT CARE GROUP LIMITED"
"970","Radical Services Limited","Radical Services Limited","RADICAL SERVICES LIMITED"
"971","My Choice Children's Homes ltd","My Choice childrens Homes ltd","MY CHOICE CHILDREN'S HOMES LIMITED"
"972","Achieving Aspirations  Community Interest Company","Achieving Aspirations Community Interest Company","ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY"
"973","Area Camden Limited ","Area Camden Limited","AREA CAMDEN LIMITED"
"974","Restorative Social Care Services Ltd","Restorative Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD."
"975","SureCare Residential Ltd","SureCare Residential Ltd","SURECARE RESIDENTIAL LTD"
"976","Cameron & Cooper Limited","Cameron & Cooper Limited","CAMERON & COOPER LIMITED"
"977","Gravitas Care LTD","Gravitas Care LTD","GRAVITAS CARE LIMITED"
"978","Parkview Care (Broadstairs) Limited","Parkview Care (Broadstairs) Limited","PARKVIEW CARE (BROADSTAIRS) LIMITED"
"979","Arc-HD Services Ltd","Arc-HD Services Ltd","ARC HD SERVICES LIMITED"
"980"," Swan Cottage Limited","Swan Cottage Limited","SWAN COTTAGE LIMITED"
"981","Oasis Adolescent Services Ltd","Oasis Adolescent Services Ltd","OASIS ADOLESCENT SERVICES LIMITED"
"982","Ashwood Childrens Care Home Ltd","Ashwood Childrens Care Home Ltd","ASHWOOD CHILDRENS CARE HOME LTD"
"983","Albrighton Care Limited","Albrighton Care Limited","ALBRIGHTON CARE LIMITED"
"984","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED"
"985","Care Perspectives Limited","Care Perspectives Limited","CARE PERSPECTIVES LIMITED"
"986","Action for Children","Action for Children","ACTION FOR CHILDREN"
"987","Q+","Q+","Q+"
"988","Oak Childcare Plus Ltd","Oak Childcare Plus Ltd","OAK CHILDCARE PLUS LIMITED"
"989","Harmony Childrens Services ","Harmony Childrens Services","HARMONY CHILDREN'S SERVICES LIMITED"
"990","N H Care Limited","N H Care Limited","N H CARE LIMITED"
"991","Josh's Place Limited","Joshs Place Limited","AR CURAM LIMITED"
"992","Protea Care Limited","Protea Care Limited","PROTEA CARE LIMITED"
"993","Brighter Futures For Children Limited","Brighter Futures For Children Limited","BRIGHTER FUTURES FOR CHILDREN LIMITED"
"994","Solace for Children Limited","Solace for Children Limited","SOLACE FOR CHILDREN LIMITED"
"995","Inspirations Leicestershire Limited","Inspirations Leicestershire Limited","INSPIRATIONS LEICESTERSHIRE LIMITED"
"996","Purple Oak Support","Purple Oak Support","PURPLE OAK SUPPORT"
"997","Kennedy And Elliott Partnership LLP","Kennedy And Elliott Partnership LLP","KENNEDY AND ELLIOTT PARTNERSHIP LLP"
"998","Homes for Support Limited","Homes for Support Limited","HOMES FOR SUPPORT LTD"
"999","Hapin Care Ltd","Hapin Care Ltd","HAPIN CARE LTD"
"1000","Heartwood RSL Ltd","Heartwood RSL Ltd","HEARTWOOD RSL LTD"
"1001","Care 4 Every Child Ltd","Care 4 Every Child Ltd","CARE 4 EVERY CHILD LIMITED"
"1002","Brinscall Care","Brinscall Care","BRINSCALL CARE LIMITED"
"1003","The Ryes College LTD","The Ryes College LTD","THE RYES COLLEGE LIMITED"
"1004","Caterpillar Care Services Ltd","Caterpillar Care Services Ltd","CATERPILLAR CARE SERVICES LTD"
"1005","Proactive Care (manchester) ltd","Proactive Care (manchester) ltd","PROACTIVE CARE (MANCHESTER) LTD"
"1006","Life Change Care Ltd","Life Change Care Ltd","LIFE CHANGE CARE LTD"
"1007","Gracewells Care Ltd","Gracewells Care Ltd","GRACEWELLS CARE LIMITED"
"1008","Empower Residentials Limited","Empower Residentials Limited","EMPOWER RESIDENTIALS LIMITED"
"1009","Oak House Childrens Home Ltd","Oak House Childrens Home Ltd","OAK HOUSE CHILDRENS HOME LTD"
"1010","Gracebridge Care Ltd","Gracebridge Care Ltd","GRACEBRIDGE CARE LIMITED"
"1011","BTTLR LIMITED","BTTLR LIMITED","BTTLR LIMITED"
"1012","Woodford Children's Services Limited","Woodford childrens Services Limited","WOODFORD CHILDREN'S SERVICES LIMITED"
"1013","Blossom Care Group Limited","Blossom Care Group Limited","BLOSSOM CARE GROUP LIMITED"
"1014","Flourish Childrens Services Ltd","Flourish Childrens Services Ltd","FLOURISH CHILDRENS SERVICES LIMITED"
"1015","Nirmal Homes Limited","Nirmal Homes Limited","NIRMAL HOMES LIMITED"
"1016","Almond Care Children's Services Ltd","Almond Care childrens Services Ltd","ALMOND CARE CHILDRENS SERVICES LIMITED"
"1017","HMO NE LTD","HMO NE LTD","HMO NE LTD"
"1018","Northern Community Pathways Childrens Residential Services Limited","Northern Community Pathways Childrens Residential Services Limited","NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD"
"1019","Safe Haven Adolescent Care Group Limited","Safe Haven Adolescent Care Group Limited","SAFE HAVEN ADOLESCENT CARE GROUP LIMITED"
"1020","MERCIA CHILDREN SERVICES LIMITED","MERCIA CHILDREN SERVICES LIMITED","MERCIA CHILDREN SERVICES LIMITED"
"1021","Solo Independent Living Adolescent Care Services Ltd ","Solo Independent Living Adolescent Care Services Ltd","SOLO INDEPENDENT LIVING ADOLESCENT CARE SERVICES LTD"
"1022","Halliwell Homes (Midlands Division) Limited","Halliwell Homes (Midlands Division) Limited","HALLIWELL HOMES (MIDLANDS DIVISION) LIMITED"
"1023","Bright Futures Care Ltd","Bright Futures Care Ltd","BRIGHT FUTURES CARE LIMITED"
"1024","The Beeches UK Limited","The Beeches UK Limited","THE BEECHES UK LIMITED"
"1025","Willows (Devon) Ltd","Willows (Devon) Ltd","WILLOWS (DEVON) LIMITED"
"1026","Strive To Care Ltd","Strive To Care Ltd","STRIVE TO CARE LTD"
"1027","Supporting Hands Care Services Ltd","Supporting Hands Care Services Ltd","SUPPORTING HANDS CARE SERVICES LTD"
"1028","Castle Care Homes","Castle Care Homes","CASTLE CARE HOMES LIMITED"
"1029","Enhanced Young Persons Care Limited","Enhanced Young Persons Care Limited","ENHANCED YOUNG PERSONS' CARE LIMITED"
"1030","Support And Sustain Care Ltd","Support And Sustain Care Ltd","SUPPORT AND SUSTAIN CARE LTD"
"1031","Connect Care solutions limited","Connect Care solutions limited","CONNECT CARE SOLUTIONS LIMITED"
"1032","Northamptonshire Childrens Trust Limited","Northamptonshire Childrens Trust Limited","NORTHAMPTONSHIRE CHILDREN'S TRUST LIMITED"
"1033","Madiba ltd","Madiba ltd","MADIBA LTD"
"1034","Oakley House Children's Home Limited","Oakley House childrens Home Limited","OAKLEY HOUSE CHILDRENS HOME LIMITED"
"1035","Central & Southern Homes Ltd","Central & Southern Homes Ltd","CENTRAL & SOUTHERN HOMES LTD"
"1036","247 Bluebell Care Limited","247 Bluebell Care Limited","247 BLUEBELL CARE LIMITED"
"1037","PURE GRACE HOMES LIMITED","PURE GRACE HOMES LIMITED","PURE GRACE HOMES LIMITED"
"1038","Clearwater Care (Hackney) Ltd","Clearwater Care (Hackney) Ltd","CLEARWATER CARE (HACKNEY) LIMITED"
"1039","Clear Water Care Homes Ltd","Clear Water Care Homes Ltd","CLEAR WATER CARE HOMES LTD"
"1040","GAC Family Services Ltd","GAC Family Services Ltd","GAC FAMILY SERVICES LIMITED"
"1041","Care Today ( Childrens Services ) Ltd","Care Today ( Childrens Services ) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD"
"1042","TJY Care lytd","TJY Care ltd","TJY CARE LTD"
"1043","Forte Care Ltd","Forte Care Ltd","FORTE CARE LTD"
"1044","Young Birch Ltd","Young Birch Ltd","YOUNG BIRCH LIMITED"
"1045","Prosper and Enterprise Limited","Prosper and Enterprise Limited","PROSPER AND ENTERPRISE LIMITED"
"1046","Momentum Residential Care Home Ltd","Momentum Residential Care Home Ltd","MOMENTUM RESIDENTIAL CARE HOME LTD"
"1047","Evolve Childcare Ltd","Evolve Child care Ltd","EVOLVE CHILD CARE LIMITED"
"1048","Resi-Action Staffordshire Ltd","Resi-Action Staffordshire Ltd","RESI- ACTION STAFFORDSHIRE LTD"
"1049","Huntercombe Young People Ltd","Huntercombe Young People Ltd","ACTIVE YOUNG PEOPLE LIMITED"
"1050","Monarch Intervention Services Ltd","Monarch Intervention Services Ltd","MONARCH INTERVENTION SERVICES LIMITED"
"1051","Care2Care Children's Home Ltd","Care2Care childrens Home Ltd","CARE2CARE CHILDREN'S HOME LTD"
"1052","I.M.P.A.C.T Children's Residential Care Ltd","I.M.P.A.C.T childrens Residential Care Ltd","I.M.P.A.C.T CHILDREN'S RESIDENTIAL CARE LTD"
"1053","Parallel Parents Ltd","Parallel Parents Ltd","PARALLEL PARENTS LTD"
"1054","Oakley House (Kent) Limited","Oakley House (Kent) Limited","OAKLEY HOUSE (KENT) LIMITED"
"1055","Protea Care 2 Limited","Protea Care 2 Limited","PROTEA CARE 2 LIMITED"
"1056","Supreme Child Care ltd","Supreme Child Care ltd","SUPREME CHILD CARE LTD"
"1057","Camino Care Limited","Camino Care Limited","SUPERCARE HOLDINGS LTD"
"1058","Halls Homes For Young People Ltd","Halls Homes For Young People Ltd","HALLS HOMES FOR YOUNG PEOPLE LTD"
"1059","Aegis 24/7 Ltd","Aegis 24/7 Ltd","AEGIS 24/7 LTD"
"1060","Hopespring","Hopespring","HOPESPRING"
"1061","Safety & Focused Care Ltd","Safety & Focused Care Ltd","SAFETY & FOCUSED CARE LTD"
"1062","CASC (Barrow) Limited ","CASC (Barrow) Limited","CASC (BARROW) LIMITED"
"1063","Excel Residential Care LTD","Excel Residential Care LTD","EXCEL RESIDENTIAL CARE LIMITED"
"1064","Positive Steps Specialist Care Services Limited","Positive Steps Specialist Care Services Limited","POSITIVE STEPS SPECIALIST CARE SERVICES LIMITED"
"1065","Ashdown Care Homes Limited","Ashdown Care Homes Limited","ASHDOWN CARE HOMES LTD"
"1066","Applecast Limited","Applecast Limited","APPLECAST LIMITED"
"1067","Truly Care Services Ltd","Truly Care Services Ltd","TRULY CARE SERVICES LTD"
"1068","Charis Services for Children Ltd","Charis Services for Children Ltd","CHARIS SERVICES FOR CHILDREN LTD"
"1069","Treasure Nest Limited","Treasure Nest Limited","TREASURE NEST LIMITED"
"1070","Positive Homes for Positive Futures ltd","Positive Homes for Positive Futures ltd","POSITIVE HOMES FOR POSITIVE FUTURES LIMITED"
"1071","PALS Residential Services Ltd","PALS Residential Services Ltd","PALS RESIDENTIAL SERVICES LTD"
"1072","MJ Residential Services","MJ Residential Services","MJ RESIDENTIAL SERVICES LIMITED"
"1073","Horizon Care Mayfield Lodge Limited","Horizon Care Mayfield Lodge Limited","HORIZON CARE MAYFIELD LODGE LIMITED"
"1074","Cherry Care Children's Home Ltd","Cherry Care childrens Home Ltd","CHERRY CARE CHILDREN'S HOME LTD"
"1075","Vita Spirit Limited","Vita Spirit Limited","VITA SPIRIT LIMITED"
"1076","Trax MX Ltd","Trax MX Ltd","TRAX MX LTD"
"1077","Ashford Children's Care Limited","Ashford childrens Care Limited","ASHFORD CHILDRENS CARE LIMITED"
"1078","Family First Care Services Ltd","Family First Care Services Ltd","FAMILY FIRST CARE SERVICES LTD"
"1079","First Steps Care Ltd","First Steps Care Ltd","FIRST STEPS CARE LTD"
"1080","Anchor Care and Education Ltd","Anchor Care and Education Ltd","ANCHOR CARE AND EDUCATION LTD"
"1081","St. Caspian Care Limited","St. Caspian Care Limited","ST. CASPIAN CARE LIMITED"
"1082","GREEN HARVEST CAPITAL CONSULTING LTD","GREEN HARVEST CAPITAL CONSULTING LTD","GREEN HARVEST CAPITAL CONSULTING LTD"
"1083","24/7 SUPPORT UK LIMITED","24/7 SUPPORT UK LIMITED","24/7 SUPPORT UK LIMITED"
"1084","Abundantia Care Limited","Abundantia Care Limited","ABUNDANTIA CARE LIMITED"
"1085","Moncur Group Ltd","Moncur Group Ltd","SUNBRIDGE CHILDCARE LTD"
"1086","Acheron Care Limited","Acheron Care Limited","ACHERON CARE LIMITED"
"1087","Roxwell Care Gidea Park Limited","Roxwell Care Gidea Park Limited","ROXWELL CARE GIDEA PARK LIMITED"
"1088","Next Step Independence Ltd","Next Step Independence Ltd","NEXT STEP INDEPENDENCE LIMITED"
"1089","ARGF LIMITED","ARGF LIMITED","ARGF LIMITED"
"1090","Bethel Children's Care Ltd","Bethel childrens Care Ltd","BETHEL CHILDREN'S CARE LIMITED"
"1091","Contemporary Concept Care Limited","Contemporary Concept Care Limited","CONTEMPORARY CONCEPT CARE LIMITED"
"1092","Northridge Care Group Ltd","Northridge Care Group Ltd","NORTHRIDGE CARE GROUP LTD"
"1093","Real Care Support Ltd.","Real Care Support Ltd.","REAL CARE SUPPORT LIMITED"
"1094","Nurture Care Group Ltd","Nurture Care Group Ltd","NURTURE CARE GROUP LTD"
"1095","Infinity Care Home Ltd","Infinity Care Home Ltd","INFINITY CARE HOME LTD"
"1096","Sankofa Specialist Care Ltd","Sankofa Specialist Care Ltd","SANKOFA SPECIALIST CARE LTD"
"1097","Carterhatch Homes Limited","Carterhatch Homes Limited","CARTERHATCH HOMES LIMITED"
"1098","Williams Welfare Ltd","Williams Welfare Ltd","WILLIAMS WELFARE LTD"
"1099","Centre 404","Centre 404","CENTRE 404"
"1100","Solace Care ClayHall Ltd","Solace Care ClayHall Ltd","SOLACE CARE CLAYHALL LTD"
"1101","A&R Guardian Services Limited","A&R Guardian Services Limited","A&R GUARDIAN SERVICES LIMITED"
"1102","Kedleston (Wood Grove Childcare) Limited","Kedleston (Wood Grove Childcare) Limited","KEDLESTON (WOOD GROVE CHILDCARE) LIMITED"
"1103","Helpful Investments Limited","Helpful Investments Limited","HELPFUL INVESTMENTS LIMITED"
"1104","Trauma in Mind Ltd","Trauma in Mind Ltd","TRAUMA IN MIND LTD"
"1105","Barracare Ltd","Barracare Ltd","BARRACARE LTD"
"1106","Allesley Childrens Care Ltd","Allesley Childrens Care Ltd","ALLESLEY CHILDRENS CARE LTD"
"1107","Ascent Fostering Agency","Ascent Fostering Agency","ASCENT FOSTERING AGENCY LIMITED"
"1108","Dimensions Care Ltd","Dimensions Care Ltd","3 DIMENSIONS CARE LIMITED"
"1109","SV Care Services Limited","SV Care Services Limited","SV CARE SERVICES LIMITED"
"1110","We Care Bespoke Limited","We Care Bespoke Limited","WE CARE BESPOKE LTD"
"1111","Lily Residential Services LTd","Lily Residential Services LTd","LILY RESIDENTIAL SERVICES LTD"
"1112","Ubuntu Group Limited","Ubuntu Group Limited","UBUNTU GROUP LTD"
"1113","ALTERNATIVE APPROACH CARE LTD","ALTERNATIVE APPROACH CARE LTD","ELEVATED FUTURES LTD"
"1114","Procure Care Providers Limited","Procure Care Providers Limited","PROCURE CARE PROVIDERS LIMITED"
"1115","Kids Inc Residential Services Ltd","Kids Inc Residential Services Ltd","KIDS INC RESIDENTIAL SERVICES LTD"
"1116","Willcob Care Ltd","Willcob Care Ltd","WILLCOB CARE LTD"
"1117","Caritas Homes Limited","Caritas Homes Limited","CARITAS HOMES LIMITED"
"1118","Bess Solutions Limited","Bess Solutions Limited","BESS SOLUTIONS LIMITED"
"1119","Loyal Care Limited","Loyal Care Limited","LOYAL CARE LIMITED"
"1120","Pinnacle Care Provisions Ltd","Pinnacle Care Provisions Ltd","PINNACLE CARE PROVISIONS LTD"
"1121","Caring feathers Ltd","Caring feathers Ltd","CARING FEATHERS LTD"
"1122","Montage Services Limited","Montage Services Limited","MONTAGE SERVICES LIMITED"
"1123","Residential Child Care Community (North West) Limited","Residential Child Care Community (North West) Limited","RESIDENTIAL CHILD CARE COMMUNITY (NORTH WEST) LIMITED"
