"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"14125","For-profit","SC473329",5,"WEST BERKSHIRE","Amegreen Children's Services Limited","17/12/2013","Outstanding",2021-11-17,1,"2014-01-01",NA,NA
"14126","For-profit","SC473375",2,"KNOWSLEY","Continuum Support - Care Services Ltd","20/01/2014","Good",2021-11-30,1,"2014-01-01",NA,NA
"14127","For-profit","SC473473",3,"ROCHDALE","Nestlings Care Ltd","14/03/2014","Good",2021-09-14,1,"2014-01-01",NA,NA
"14128","For-profit","SC473475",5,"SEFTON","New Horizons nw ltd","18/07/2014","Good",2021-04-13,1,"2014-07-18",NA,NA
"14129","For-profit","SC473631",6,"ROTHERHAM","Aspris Children's Services Limited","03/03/2014","Requires improvement to be good",2021-08-17,1,"2014-01-01",NA,NA
"14130","For-profit","SC473639",10,"CAMDEN","Area Camden Limited ","07/02/2014","Good",2021-10-13,1,"2014-01-01",NA,NA
"14131","For-profit","SC473699",4,"LINCOLNSHIRE","Unique Care Homes Support Limited","17/03/2014","Requires improvement to be good",2022-01-11,1,"2014-01-01",NA,NA
"14132","For-profit","SC473877",2,"KENT","Pilgrims Corner Limited","28/03/2014","Good",2022-02-08,1,"2014-01-01",NA,NA
"14133","For-profit","SC474041",2,"SHROPSHIRE","Keys Nhcc Ltd","30/04/2014","Good",2021-04-28,1,"2014-04-30",NA,NA
"14134","For-profit","SC474150",4,"BUCKINGHAMSHIRE","Benjamin UK Ltd","11/02/2014","Good",2021-07-06,1,"2014-01-01",NA,NA
"14135","For-profit","SC474179",4,"STAFFORDSHIRE","Haven Care Group Ltd","29/04/2014","Good",2021-11-02,1,"2014-04-29",NA,NA
"14136","Local Authority","SC474543",12,"BROMLEY","Bromley Healthcare Community Interest Company","26/02/2014","Good",2021-07-19,1,"2014-01-01",NA,NA
"14137","For-profit","SC474894",3,"NORTHUMBERLAND","A Wilderness Way Ltd","13/05/2014","Good",2021-08-03,1,"2014-05-13",NA,NA
"14138","For-profit","SC475088",4,"ESSEX","Shalamar Children Limited","03/09/2014","Good",2021-10-05,1,"2014-09-03",NA,NA
"14139","For-profit","SC475323",3,"STAFFORDSHIRE","Horizon Care and Education Group Limited","06/02/2014","Requires improvement to be good",2021-08-23,1,"2014-01-01",NA,NA
"14140","For-profit","SC475335",4,"NOTTINGHAMSHIRE","Blue Mountain Homes Ltd","13/06/2014","Outstanding",2022-01-24,1,"2014-06-13",NA,NA
"14141","For-profit","SC475347",2,"STAFFORDSHIRE","Horizon Care and Education Group Limited","14/04/2014","Good",2021-08-17,1,"2014-04-14",NA,NA
"14142","For-profit","SC475680",8,"LANCASHIRE","Witherslack Group","08/05/2014","Good",2021-10-26,1,"2014-05-08",NA,NA
"14143","For-profit","SC475689",6,"SEFTON","Witherslack Group","21/03/2014","Outstanding",2022-03-14,1,"2014-01-01",NA,NA
"14144","For-profit","SC475703",8,"NORTH YORKSHIRE","Witherslack Group","08/05/2014","Good",2021-08-17,1,"2014-05-08",NA,NA
"14145","For-profit","SC475706",7,"DURHAM","Witherslack Group","28/05/2014","Outstanding",2021-05-10,1,"2014-05-28",NA,NA
"14146","For-profit","SC475710",8,"DURHAM","Witherslack Group","03/06/2014","Good",2021-11-30,1,"2014-06-03",NA,NA
"14147","For-profit","SC475723",9,"LANCASHIRE","Witherslack Group","18/12/2014","Good",2021-10-12,1,"2014-12-18",NA,NA
"14148","For-profit","SC476083",3,"CUMBRIA","Radical Services Limited","12/03/2015","Good",2021-10-05,1,"2015-03-12",NA,NA
"14149","For-profit","SC476231",4,"SHROPSHIRE","Cambian Childcare Limited","14/03/2014","Good",2021-12-08,1,"2014-01-01",NA,NA
"14150","For-profit","SC476236",4,"SHROPSHIRE","Cambian Childcare Limited","24/04/2014","Good",2021-10-12,1,"2014-04-24",NA,NA
"14151","For-profit","SC476249",5,"WARWICKSHIRE","Cambian Childcare Limited","30/06/2014","Good",2022-01-25,1,"2014-06-30",NA,NA
"14152","For-profit","SC476251",4,"BEDFORD","Cambian Childcare Limited","26/02/2014","Outstanding",2022-01-18,1,"2014-01-01",NA,NA
"14153","For-profit","SC476252",3,"SHROPSHIRE","Cambian Childcare Limited","09/03/2014","Requires improvement to be good",2021-04-14,1,"2014-01-01",NA,NA
"14154","For-profit","SC476262",5,"SHROPSHIRE","Cambian Childcare Limited","09/03/2014","Requires improvement to be good",2021-12-20,1,"2014-01-01",NA,NA
"14155","For-profit","SC476270",5,"WALSALL","Cambian Childcare Limited","28/02/2014","Requires improvement to be good",2021-10-05,1,"2014-01-01",NA,NA
"14156","For-profit","SC476271",5,"SHROPSHIRE","Cambian Childcare Limited","09/03/2014","Good",2021-08-19,1,"2014-01-01",NA,NA
"14157","For-profit","SC476286",5,"LEICESTERSHIRE","Cambian Childcare Limited","09/05/2014","Good",2021-06-15,1,"2014-05-09",NA,NA
"14158","For-profit","SC476289",5,"DERBYSHIRE","Cambian Childcare Limited","15/01/2015","Good",2021-11-16,1,"2015-01-15",NA,NA
"14159","For-profit","SC476292",5,"SHROPSHIRE","Cambian Childcare Limited","28/02/2014","Good",2021-04-21,1,"2014-01-01",NA,NA
"14160","For-profit","SC476303",3,"GATESHEAD","Cambian Childcare Limited","08/05/2014","Good",2022-02-15,1,"2014-05-08",NA,NA
"14161","For-profit","SC476326",5,"SHROPSHIRE","Cambian Childcare Limited","03/03/2014","Requires improvement to be good",2021-06-23,1,"2014-01-01",NA,NA
"14162","For-profit","SC476486",7,"HEREFORDSHIRE","Aspris Children's Services Limited","12/05/2014","Inadequate",2022-02-15,1,"2014-05-12","2022-09-01",NA
"14163","For-profit","SC476512",5,"REDCAR AND CLEVELAND","Highfield (North East) Limited","03/06/2014","Requires improvement to be good",2021-09-23,1,"2014-06-03",NA,NA
"14164","For-profit","SC476570",5,"CAMBRIDGESHIRE","Castle Homes Care Limited","06/05/2014","Good",2021-06-16,1,"2014-05-06",NA,NA
"14165","For-profit","SC476602",3,"DURHAM","Duty of Care Limited","05/03/2015","Requires improvement to be good",2021-08-16,1,"2015-03-05",NA,NA
"14166","For-profit","SC476868",4,"LANCASHIRE","Cherish Children's Care Ltd","28/05/2014","Requires improvement to be good",2021-09-21,1,"2014-05-28",NA,NA
"14167","For-profit","SC476990",7,"DERBYSHIRE","Aspris Children's Services Limited","20/06/2014","Outstanding",2021-06-22,1,"2014-06-20",NA,NA
"14168","For-profit","SC477031",5,"STOCKTON ON TEES","Spark Of Genius North East Llp","24/06/2014","Requires improvement to be good",2022-03-09,1,"2014-06-24",NA,NA
"14169","For-profit","SC477040",3,"SOMERSET","Plus One South West Ltd","25/06/2014","Requires improvement to be good",2021-11-30,1,"2014-06-25",NA,NA
"14170","Local Authority","SC477205",7,"KENSINGTON AND CHELSEA","Royal Borough of Kensington and Chelsea","21/05/2014","Good",2022-01-18,1,"2014-05-21",NA,NA
"14171","Local Authority","SC477428",3,"NORTH EAST LINCOLNSHIRE","North East Lincolnshire Council","10/09/2014","Good",2022-01-05,1,"2014-09-10",NA,NA
"14172","For-profit","SC477724",3,"WIGAN","Crystal Care Solutions Limited","17/07/2014","Good",2021-07-07,1,"2014-07-17",NA,NA
"14173","For-profit","SC477726",2,"WIGAN","Crystal Care Solutions Limited","18/07/2014","Good",2022-03-02,1,"2014-07-18",NA,NA
"14174","For-profit","SC477900",4,"ESSEX","Care Focus Limited","06/06/2014","Outstanding",2021-08-17,1,"2014-06-06",NA,NA
"14175","For-profit","SC477939",3,"ROCHDALE","Meadows Care Limited","03/06/2014","Good",2022-03-01,1,"2014-06-03",NA,NA
"14176","For-profit","SC478001",4,"STAFFORDSHIRE","Longdon Hall School Limited","11/07/2014","Good",2022-01-12,1,"2014-07-11","2023-03-25",NA
"14177","For-profit","SC478134",4,"WORCESTERSHIRE","Cambian Childcare Limited","24/06/2014","Good",2021-05-12,1,"2014-06-24",NA,NA
"14178","For-profit","SC478152",4,"SOMERSET","Phoenix Learning & Care Holdings Limited","05/03/2015","Requires improvement to be good",2021-08-24,1,"2015-03-05",NA,NA
"14179","For-profit","SC478315",4,"HAMPSHIRE","The Serendipity Centre Limited","09/06/2014","Good",2021-07-22,1,"2014-06-09",NA,NA
"14180","For-profit","SC478468",5,"LANCASHIRE","Cambian Childcare Limited","21/08/2014","Good",2021-07-28,1,"2014-08-21",NA,NA
"14181","For-profit","SC478616",4,"KENT","Acorn Homes (UK) Ltd","14/10/2014","Good",2021-09-27,1,"2014-10-14",NA,NA
"14182","For-profit","SC478852",3,"STAFFORDSHIRE","Roundhouse Care Limited","25/06/2014","Good",2021-09-15,1,"2014-06-25",NA,NA
"14183","For-profit","SC478986",5,"DERBY","Esland North Limited","22/05/2014","Good",2021-07-13,1,"2014-05-22",NA,NA
"14184","For-profit","SC478991",4,"STAFFORDSHIRE","Esland North Limited","02/06/2014","Requires improvement to be good",2021-12-07,1,"2014-06-02",NA,NA
"14185","For-profit","SC479230",2,"STAFFORDSHIRE","Platform Childcare Ltd","19/04/2015","Good",2022-02-08,1,"2015-04-19",NA,NA
"14186","For-profit","SC479647",6,"WIGAN","Hexagon Care Services Ltd","08/10/2014","Good",2021-06-29,1,"2014-10-08",NA,NA
"14187","For-profit","SC479650",6,"ROCHDALE","Hexagon Care Services Ltd","08/10/2014","Good",2022-02-09,1,"2014-10-08",NA,NA
"14188","For-profit","SC479654",6,"ROCHDALE","Hexagon Care Services Ltd","05/09/2014","Outstanding",2022-02-08,1,"2014-09-05",NA,NA
"14189","For-profit","SC480075",3,"WIRRAL","Safe Base Care Limited","17/12/2014","Good",2022-02-08,1,"2014-12-17",NA,NA
"14190","For-profit","SC480161",6,"TAMESIDE","Hexagon Care Services Ltd","10/09/2014","Outstanding",2021-12-14,1,"2014-09-10",NA,NA
"14191","For-profit","SC480240",7,"LANCASHIRE","Hexagon Care Services Ltd","23/10/2014","Requires improvement to be good",2021-06-02,1,"2014-10-23",NA,NA
"14192","For-profit","SC480318",4,"SHROPSHIRE","Bryn Melyn Care Limited","26/08/2014","Good",2022-03-09,1,"2014-08-26",NA,NA
"14193","For-profit","SC480422",8,"CUMBRIA","Witherslack Group","28/07/2014","Good",2022-01-26,1,"2014-07-28",NA,NA
"14194","For-profit","SC480429",1,"LANCASHIRE","Cambian Childcare Limited","08/08/2014","Good",2021-06-30,1,"2014-08-08",NA,NA
"14195","For-profit","SC480502",4,"HAMPSHIRE","New Forest Care","22/09/2014","Requires improvement to be good",2021-09-01,1,"2014-09-22",NA,NA
"14196","For-profit","SC480594",4,"STAFFORDSHIRE","Crystal Care Solutions Limited","29/09/2014","Outstanding",2021-06-29,1,"2014-09-29",NA,NA
"14197","For-profit","SC480655",4,"LEICESTERSHIRE","The Place Young People's Company Limited","01/10/2014","Good",2021-10-06,1,"2014-10-01",NA,NA
"14198","For-profit","SC480671",8,"LANCASHIRE","Hexagon Care Services Ltd","23/10/2014","Requires improvement to be good",2021-07-06,1,"2014-10-23",NA,NA
"14199","For-profit","SC480678",5,"BLACKPOOL","Hexagon Care Services Ltd","30/11/2014","Good",2021-11-30,1,"2014-11-30",NA,NA
"14200","For-profit","SC480681",6,"LANCASHIRE","Hexagon Care Services Ltd","27/01/2015","Good",2021-11-02,1,"2015-01-27",NA,NA
"14201","For-profit","SC480704",5,"BLACKPOOL","Hexagon Care Services Ltd","30/11/2014","Requires improvement to be good",2021-10-12,1,"2014-11-30",NA,NA
"14202","For-profit","SC480705",3,"HAMPSHIRE","Arc-HD Services Ltd","01/09/2014","Outstanding",2022-02-15,1,"2014-09-01",NA,NA
"14203","For-profit","SC480847",4,"EAST RIDING OF YORKSHIRE","Hexagon Care Services Ltd","01/12/2014","Good",2022-02-09,1,"2014-12-01",NA,NA
"14204","For-profit","SC480854",6,"KIRKLEES","Hexagon Care Services Ltd","15/10/2014","Good",2021-05-24,1,"2014-10-15",NA,NA
"14205","For-profit","SC481015",6,"CAMBRIDGESHIRE","Unique Care Homes Support Limited","08/10/2014","Good",2021-06-22,1,"2014-10-08",NA,NA
"14206","For-profit","SC481040",4,"BRACKNELL FOREST","SWAAY Child and Adolescent Services Limited","24/02/2015","Outstanding",2021-08-10,1,"2015-02-24",NA,NA
"14207","For-profit","SC481172",4,"NORTH LINCOLNSHIRE","Absolute Childrens Services Ltd","19/12/2014","Outstanding",2022-03-08,1,"2014-12-19",NA,NA
"14208","For-profit","SC481221",5,"SUFFOLK","Aspris Children's Services Limited","29/10/2014","Requires improvement to be good",2021-07-05,1,"2014-10-29",NA,NA
"14209","For-profit","SC481235",3,"SANDWELL","Individual Specialist Care Ltd","04/09/2014","Requires improvement to be good",2021-11-03,1,"2014-01-01","2022-06-23",NA
"14210","For-profit","SC481293",8,"WALTHAM FOREST","Footsteps Care Limited","11/12/2014","Good",2021-04-27,1,"2014-12-11",NA,NA
"14211","For-profit","SC481295",5,"CHESHIRE WEST AND CHESTER","iMapcentre Ltd","23/09/2014","Good",2021-12-08,1,"2014-09-23",NA,NA
"14212","For-profit","SC481305",2,"NORTH YORKSHIRE","Pebbles Care Limited","16/02/2015","Requires improvement to be good",2021-09-01,1,"2015-02-16","2022-05-05",NA
"14213","For-profit","SC481312",2,"WORCESTERSHIRE","Keys Specialist Residential Children's Services Ltd","04/09/2014","Good",2021-11-02,1,"2014-09-04",NA,NA
"14214","For-profit","SC481369",5,"MERTON","Reamcare Limited","06/01/2015","Outstanding",2022-01-11,1,"2015-01-06",NA,NA
"14215","Third Sector","SC481439",6,"DONCASTER","Doncaster Children's Services Trust Limited","25/09/2014","Good",2021-04-27,1,"2014-09-25","2022-08-31",NA
"14216","Third Sector","SC481447",5,"DONCASTER","Doncaster Children's Services Trust Limited","25/09/2014","Requires improvement to be good",2021-05-11,1,"2014-09-25","2022-08-31",NA
"14217","For-profit","SC481631",4,"NORTH YORKSHIRE","Pebbles Care Limited","16/02/2015","Requires improvement to be good",2021-05-11,1,"2015-02-16",NA,NA
"14218","For-profit","SC481844",5,"WEST NORTHAMPTONSHIRE","Living Life (UK) Limited","01/10/2014","Good",2021-07-21,1,"2014-10-01",NA,NA
"14219","For-profit","SC482275",4,"CORNWALL","Pathway Care Solutions Group Limited","14/11/2014","Requires improvement to be good",2021-12-08,1,"2014-11-14",NA,NA
"14220","For-profit","SC482294",42,"HAMPSHIRE","Cambian Asperger Syndrome Services Limited","21/11/2014","Good",2021-09-28,1,"2014-11-21",NA,NA
"14221","For-profit","SC482295",7,"OXFORDSHIRE","Hillcrest Children's Services Ltd","22/09/2014","Good",2021-11-10,1,"2014-09-22",NA,NA
"14222","For-profit","SC482296",8,"OXFORDSHIRE","Hillcrest Children's Services Ltd","22/09/2014","Good",2021-10-04,1,"2014-09-22",NA,NA
"14223","For-profit","SC482299",10,"HAMPSHIRE","Hillcrest Children's Services Ltd","22/09/2014","Good",2021-07-07,1,"2014-09-22",NA,NA
"14224","For-profit","SC482300",6,"WEST SUSSEX","Hillcrest Children's Services Ltd","22/09/2014","Good",2021-06-21,1,"2014-09-22",NA,NA
"14225","For-profit","SC482301",6,"HAMPSHIRE","Hillcrest Children's Services Ltd","22/09/2014","Good",2021-08-03,1,"2014-09-22",NA,NA
"14226","For-profit","SC482303",8,"OXFORDSHIRE","Hillcrest Children's Services Ltd","22/10/2014","Outstanding",2021-10-11,1,"2014-10-22",NA,NA
"14227","For-profit","SC482344",8,"OXFORDSHIRE","Hillcrest Children's Services Ltd","22/10/2014","Outstanding",2022-02-22,1,"2014-10-22",NA,NA
"14228","For-profit","SC482380",4,"CAMBRIDGESHIRE","Keys Direct Care Limited","31/03/2015","Outstanding",2021-04-27,1,"2015-03-31",NA,NA
"14229","For-profit","SC482410",3,"WIGAN","Inspire Childrens Services Limited","12/11/2014","Good",2022-02-01,1,"2014-11-12",NA,NA
"14230","For-profit","SC482411",6,"LINCOLNSHIRE","Hexagon Care Services Ltd","05/12/2014","Outstanding",2021-04-14,1,"2014-12-05",NA,NA
"14231","For-profit","SC482415",4,"LEEDS","Keir Lock Children's Homes Ltd","09/10/2015","Good",2021-10-05,1,"2015-10-09",NA,NA
"14232","For-profit","SC482418",3,"DURHAM","Hennessy Living Group Limited","13/04/2015","Good",2021-12-06,1,"2015-04-13",NA,NA
"14233","For-profit","SC482517",4,"WARWICKSHIRE","Hexagon Care Services Ltd","29/01/2015","Good",2021-12-15,1,"2015-01-29",NA,NA
"14234","For-profit","SC482548",5,"BRIGHTON AND HOVE","Lioncare Ltd Operating As The Lioncare Group","27/03/2015","Good",2021-08-10,1,"2015-03-27",NA,NA
"14235","For-profit","SC482569",4,"NORTH SOMERSET","Hexagon Care Services Ltd","20/01/2015","Good",2021-06-07,1,"2015-01-20",NA,NA
"14236","For-profit","SC482683",4,"COVENTRY","Hexagon Care Services Ltd","25/02/2015","Good",2022-02-15,1,"2015-02-25",NA,NA
"14237","For-profit","SC482872",3,"WILTSHIRE","Park Blue Homes Limited","11/12/2014","Good",2021-09-14,1,"2014-12-11",NA,NA
"14238","For-profit","SC483220",5,"CALDERDALE","Compass Childrens Homes Limited","26/01/2015","Good",2022-02-09,1,"2015-01-26",NA,NA
"14239","Third Sector","SC483533",3,"BOLTON","Birtenshaw","27/01/2015","Good",2021-07-20,1,"2015-01-27",NA,NA
"14240","For-profit","SC483662",6,"DUDLEY","CareTech Community Services Limited","06/02/2015","Good",2021-12-07,1,"2015-02-06",NA,NA
"14241","For-profit","SC483688",7,"LANCASHIRE","ROC Northwest Limited ","03/12/2014","Inadequate",2022-02-08,1,"2014-12-03","2022-04-04",NA
"14242","For-profit","SC483692",4,"LANCASHIRE","ROC Northwest Limited ","03/12/2014","Outstanding",2022-01-12,1,"2014-12-03",NA,NA
"14243","For-profit","SC483710",3,"DERBYSHIRE","Horizon Care and Education Group Limited","18/02/2015","Outstanding",2021-11-30,1,"2015-02-18",NA,NA
"14244","For-profit","SC483714",6,"CENTRAL BEDFORDSHIRE","White Orchid Marston Moretaine Limited","23/01/2015","Outstanding",2021-08-03,1,"2015-01-23",NA,NA
"14245","For-profit","SC483779",4,"LEWISHAM","Ownlife Limited","11/03/2015","Good",2021-05-12,1,"2015-03-11",NA,NA
"14246","For-profit","SC483828",5,"STOCKPORT","Care Haven (UK) Ltd","04/12/2014","Inadequate",2021-10-19,1,"2014-12-04",NA,NA
"14247","For-profit","SC483846",5,"LANCASHIRE","Cambian Childcare Limited","12/10/2015","Requires improvement to be good",2022-01-25,1,"2015-10-12",NA,NA
"14248","For-profit","SC483958",3,"DUDLEY","Positive Outcomes Childcare Limited","11/11/2014","Requires improvement to be good",2021-06-08,1,"2014-11-11",NA,NA
"14249","For-profit","SC484114",3,"BEDFORD","Oracle Care Limited","31/03/2015","Good",2021-11-09,1,"2015-03-31",NA,NA
"14250","For-profit","SC484133",6,"WEST SUSSEX","Bramley Care Limited","25/01/2015","Good",2021-09-15,1,"2015-01-25",NA,NA
"14251","For-profit","SC484134",20,"CHESHIRE EAST","Kedleston (High Peak School) Limited ","12/02/2015","Good",2022-02-03,1,"2015-02-12",NA,NA
"14252","For-profit","SC484242",5,"STOCKTON ON TEES","Spark Of Genius North East Llp","11/02/2015","Outstanding",2022-02-22,1,"2015-02-11",NA,NA
"14253","For-profit","SC484247",6,"BRADFORD","Hexagon Care Services Ltd","01/02/2015","Good",2021-12-01,1,"2015-02-01",NA,NA
"14254","For-profit","SC484302",2,"EAST SUSSEX","Crusoe Care Limited 06843979","06/04/2015","Good",2021-05-25,1,"2015-04-06",NA,NA
"14255","For-profit","SC484402",3,"NOTTINGHAMSHIRE","Footsteps to Futures Limited","19/01/2015","Outstanding",2021-06-23,1,"2015-01-19",NA,NA
"14256","For-profit","SC484671",4,"BEDFORD","Benjamin UK Ltd","04/03/2015","Good",2022-01-10,1,"2015-03-04",NA,NA
"14257","Third Sector","SC484789",3,"BOLTON","Birtenshaw","27/01/2015","Good",2021-06-08,1,"2015-01-27","2023-01-25",NA
"14258","For-profit","SC484830",2,"STAFFORDSHIRE","Albrighton Care Limited","22/02/2015","Good",2022-03-01,1,"2015-02-22",NA,NA
"14259","For-profit","SC484912",10,"HILLINGDON","","11/02/2015","Good",2021-11-16,1,"2015-02-11",NA,NA
"14260","For-profit","SC485318",2,"LANCASHIRE","Inspire Childrens Services Limited","27/01/2015","Good",2022-02-15,1,"2015-01-27","2022-12-31",NA
"14261","For-profit","SC485423",5,"HAMPSHIRE","The Serendipity Centre Limited","27/03/2015","Requires improvement to be good",2022-02-07,1,"2015-03-27",NA,NA
"14262","For-profit","SC485427",2,"SOMERSET","Blackford Education (schools) Ltd","18/02/2015","Requires improvement to be good",2021-11-29,1,"2015-02-18","2022-05-27",NA
"14263","For-profit","SC485529",3,"HAMPSHIRE","New Forest Care","20/01/2015","Good",2022-03-02,1,"2015-01-20",NA,NA
"14264","For-profit","SC485540",7,"DARLINGTON","Witherslack Group","11/02/2015","Good",2022-02-23,1,"2015-02-11",NA,NA
"14265","For-profit","SC486114",4,"LANCASHIRE","Life Change Care Ltd","08/07/2015","Good",2021-11-23,1,"2015-07-08",NA,NA
"14266","For-profit","SC486165",4,"WIRRAL","Good Foundations Limited","05/03/2015","Good",2021-04-20,1,"2015-03-05",NA,NA
"14267","For-profit","SC486167",1,"PLYMOUTH","South West Childcare Services","18/02/2015","Good",2021-08-25,1,"2015-02-18",NA,NA
"14268","For-profit","SC486398",4,"LEICESTERSHIRE","Inspirations Leicestershire Limited","14/05/2015","Good",2021-06-09,1,"2015-05-14",NA,NA
"14269","For-profit","SC486479",5,"WEST BERKSHIRE","Aspris Children's Services Limited","16/04/2015","Good",2021-11-02,1,"2015-04-16",NA,NA
"14270","Local Authority","SC486604",4,"NORTHUMBERLAND","Northumberland County Council","23/01/2015","Outstanding",2021-05-25,1,"2015-01-23",NA,NA
"14271","Local Authority","SC486606",4,"BRADFORD","City of Bradford Metropolitan District Council","25/01/2015","Requires improvement to be good",2021-11-17,1,"2015-01-25",NA,NA
"14272","For-profit","SC486879",5,"EAST SUSSEX","PJL Healthcare Limited","21/07/2015","Outstanding",2021-12-01,1,"2015-07-21",NA,NA
"14273","For-profit","SC487165",2,"HAMPSHIRE","Serenity Care Homes Ltd","30/03/2015","Good",2021-11-30,1,"2015-03-30",NA,NA
"14274","For-profit","SC487488",1,"HALTON","Keys Child Care Limited","12/05/2015","Good",2021-12-09,1,"2015-05-12",NA,NA
"14275","For-profit","SC487549",4,"CUMBRIA","Radical Services Limited","12/06/2015","Good",2021-08-17,1,"2015-06-12",NA,NA
"14276","For-profit","SC487702",3,"SUFFOLK","Fonjock's Social Work Practice","28/09/2015","Good",2021-07-13,1,"2015-09-28",NA,NA
"14277","For-profit","SC487764",2,"STAFFORDSHIRE","Inspire Care (UK) Limited","23/09/2015","Requires improvement to be good",2021-08-11,1,"2015-09-23",NA,NA
"14278","For-profit","SC488112",4,"HARTLEPOOL","North East Specialist Therapeutic Services Cic","02/03/2015","Good",2021-07-08,1,"2015-03-02",NA,NA
"14279","For-profit","SC488223",3,"ROTHERHAM","Esland North Limited","16/04/2015","Good",2022-02-15,1,"2015-04-16",NA,NA
"14280","For-profit","SC488439",3,"SHROPSHIRE","Keys Education Ltd","27/02/2015","Good",2021-08-12,1,"2015-02-27",NA,NA
"14281","Local Authority","SC488596",5,"DERBY","Derby City Council","15/04/2015","Requires improvement to be good",2021-09-14,1,"2015-04-15",NA,NA
"14282","Local Authority","SC488679",4,"LEEDS","Leeds City Council","10/04/2015","Good",2021-11-16,1,"2015-04-10",NA,NA
"14283","For-profit","SC488930",6,"LEICESTER","United Children's Services Limited","28/07/2015","Good",2021-10-26,1,"2015-07-28",NA,NA
"14284","For-profit","SC488943",4,"STAFFORDSHIRE","Unity Residential Care Services Limited","22/07/2015","Good",2022-02-21,1,"2015-07-22",NA,NA
"14285","For-profit","SC488961",5,"NOTTINGHAMSHIRE","United Children's Services Limited","18/03/2016","Good",2021-11-16,1,"2016-03-18",NA,NA
"14286","For-profit","SC489036",4,"LEICESTERSHIRE","United Children's Services Limited","03/09/2015","Requires improvement to be good",2021-05-11,1,"2015-09-03",NA,NA
"14287","For-profit","SC489212",12,"OXFORDSHIRE","MacIntyre Academies","07/07/2015","Good",2021-09-21,1,"2015-07-07",NA,NA
"14288","For-profit","SC489223",2,"SOMERSET","Idem Living Ltd","29/01/2016","Requires improvement to be good",2021-11-03,1,"2016-01-29",NA,NA
"14289","For-profit","SC489226",5,"KIRKLEES","Netheredge Care Limited","30/12/2015","Outstanding",2021-05-17,1,"2015-12-30",NA,NA
"14290","For-profit","SC489416",4,"LANCASHIRE","Care 4 Children Residential Services Limited","12/08/2015","Outstanding",2022-02-09,1,"2015-08-12",NA,NA
"14291","For-profit","SC489516",2,"WEST NORTHAMPTONSHIRE","Esland North Limited","27/05/2015","Good",2021-06-22,1,"2015-05-27",NA,NA
"14292","For-profit","SC489610",3,"DERBYSHIRE","Clouds Children's Care Ltd","29/05/2015","Requires improvement to be good",2021-06-30,1,"2015-05-29",NA,NA
"14293","For-profit","SC489820",4,"DORSET","Potensial Ltd","09/10/2015","Good",2021-08-04,1,"2015-10-09",NA,NA
"14294","For-profit","SC489970",4,"LEICESTERSHIRE","United Children's Services Limited","28/07/2015","Requires improvement to be good",2021-11-30,1,"2015-07-28",NA,NA
"14295","For-profit","SC490364",4,"DERBYSHIRE","Blue Mountain Homes Ltd","09/10/2015","Requires improvement to be good",2022-03-08,1,"2015-10-09",NA,NA
"14296","For-profit","SC490365",8,"HACKNEY","Bayis Sheli Limited","05/05/2015","Good",2022-02-15,1,"2015-05-05",NA,NA
"14297","For-profit","2611190",20,"WEST NORTHAMPTONSHIRE","Cambian Autism Services Limited","08/01/2021","Requires improvement to be good",2022-11-02,1,"2021-01-08",NA,NA
"14298","Local Authority","2611447",5,"BUCKINGHAMSHIRE","Buckinghamshire Council","02/06/2021","Outstanding",2023-02-07,1,"2021-06-02",NA,NA
"14299","For-profit","2611536",5,"DEVON","Central & Southern Homes","07/05/2021","Good",2022-11-15,1,"2021-05-07",NA,NA
"14300","For-profit","2612008",4,"KIRKLEES","Compass Childrens Homes Ltd","13/01/2021","Outstanding",2022-10-13,1,"2021-01-13",NA,NA
"14301","For-profit","2612735",2,"CALDERDALE","Time-Out Childrens Homes Limited","20/12/2020","Outstanding",2023-02-01,1,"2020-12-20",NA,NA
"14302","For-profit","SC428895",3,"LEEDS","Cambian Childcare Ltd","17/06/2011","Good",2022-09-14,1,"2014-01-01",NA,NA
"14303","For-profit","2613341",6,"CHESHIRE WEST AND CHESTER","iMapcentre Ltd","09/12/2020","Good",2022-11-15,1,"2020-12-09",NA,NA
"14304","For-profit","2613661",2,"NORTHUMBERLAND","Young Foundations Limited","29/10/2020","Good",2022-11-15,1,"2020-10-29",NA,NA
"14305","For-profit","2615326",3,"DURHAM","VITA NOVA NE LTD","12/01/2021","Good",2022-06-15,1,"2021-01-12",NA,NA
"14306","For-profit","2616605",6,"LANCASHIRE","Compass Childrens Homes Ltd","31/03/2021","Requires improvement to be good",2022-08-09,1,"2021-03-31",NA,NA
"14307","For-profit","2616704",3,"DERBYSHIRE","Rite Directions Ltd","18/02/2021","Requires improvement to be good",2022-10-11,1,"2021-02-18",NA,NA
"14308","For-profit","2678551",2,"CENTRAL BEDFORDSHIRE","Homes 2 inspire","29/03/2022","Good",2022-10-18,1,"2022-03-29",NA,NA
"14309","For-profit","2679026",4,"DERBYSHIRE","Care 4 Every Child Ltd","28/06/2022","Good",2022-10-04,1,"2022-06-28",NA,NA
"14310","For-profit","SC386258",6,"SUFFOLK","Consensus Support Services Limited","15/12/2008","Good",2023-02-14,1,"2014-01-01",NA,NA
